Symbol, StockName,Sector,Industry,Currency,Sector
0001.HK,CKH HOLDINGS,Industrials,Conglomerates,HKD,Equity Securities (Main Board)
0002.HK,CLP HOLDINGS,NaN,NaN,HKD,Equity Securities (Main Board)
0003.HK,HK & CHINA GAS,Utilities,Utilities&Regulated Gas,HKD,Equity Securities (Main Board)
0004.HK,WHARF HOLDINGS,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0005.HK,HSBC HOLDINGS,Financial Services,Banks&Diversified,USD,Equity Securities (Main Board)
0006.HK,POWER ASSETS,Utilities,Utilities&Independent Power Producers,HKD,Equity Securities (Main Board)
0007.HK,HK FINANCE INV,Industrials,Conglomerates,HKD,Equity Securities (Main Board)
0008.HK,PCCW,Communication Services,Telecom Services,HKD,Equity Securities (Main Board)
0009.HK,NINE EXPRESS,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0010.HK,HANG LUNG GROUP,Real Estate,Real Estate&Diversified,HKD,Equity Securities (Main Board)
0011.HK,HANG SENG BANK,Industry,Full Time Employees,HKD,Equity Securities (Main Board)
0012.HK,HENDERSON LAND,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0014.HK,HYSAN DEV,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0015.HK,VANTAGE INT'L,Industry,Full Time Employees,HKD,Equity Securities (Main Board)
0016.HK,SHK PPT,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0017.HK,NEW WORLD DEV,Real Estate,Real Estate&Diversified,HKD,Equity Securities (Main Board)
0018.HK,ORIENTAL PRESS,Communication Services,Publishing,HKD,Equity Securities (Main Board)
0019.HK,SWIRE PACIFIC A,Industrials,Conglomerates,HKD,Equity Securities (Main Board)
0020.HK,WHEELOCK,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0021.HK,GREAT CHI PPT,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0022.HK,MEXAN,NaN,NaN,HKD,Equity Securities (Main Board)
0023.HK,BANK OF E ASIA,Industry,Full Time Employees,HKD,Equity Securities (Main Board)
0024.HK,BURWILL,Basic Materials,Steel,HKD,Equity Securities (Main Board)
0025.HK,CHEVALIER INT'L,Industrials,Conglomerates,HKD,Equity Securities (Main Board)
0026.HK,CHINA MOTOR BUS,NaN,NaN,HKD,Equity Securities (Main Board)
0027.HK,GALAXY ENT,Consumer Cyclical,Resorts & Casinos,HKD,Equity Securities (Main Board)
0028.HK,TIAN AN,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0029.HK,DYNAMIC HOLD,Real Estate,Real Estate Services,HKD,Equity Securities (Main Board)
0030.HK,BAN LOONG HOLD,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0031.HK,CHINA AEROSPACE,Technology,Electronic Components,HKD,Equity Securities (Main Board)
